Deviceset	Package	Technology	Device name	Order code type	Order code	Manuf. code	Description
MICRO-SD-HINGE-CONNECTOR	MICRO-SD-HINGE-CONNECTOR	''	MICRO-SD-HINGE-CONNECTOR	Farnell	not assigned		
MICS2614/2714	MICS2X14	''	MICS2614/2714	Farnell	not assigned		
MOUNT_HOLES	HOLES-1.6MM	''	MOUNT_HOLES	Farnell	not assigned		
MOUNT_HOLES	HOLES-2MM	''	MOUNT_HOLES-	Farnell	not assigned		
MPU9150	LGA-24	''	MPU9150	Farnell	not assigned		
MRF24J40	MRF24J40MA	''	MRF24J40-MA	Farnell	not assigned		
MRF89XAM9A	MRF89XAM9A	''	MRF89XAM9A	Farnell	not assigned		
MTK-MT3339	MT3339	''	MTK-MT3339	Farnell	not assigned		
N-MOSFET	SOT23-R	''	N-MOSFET	Farnell	not assigned		
NCP1529	TSOP-5	''	NCP1529	Farnell	not assigned		
NRF24L01	NRF24L01	''	NRF24L01	Farnell	not assigned		
NRF51228	48QFN	''	NRF51228	Farnell	not assigned		
OLED	OLED_SMD	''	OLED	Farnell	not assigned		
P-MOSFET	SOT23-R	''	P-MOSFET	Farnell	not assigned		
PIC10F222	6PIN_SOT23	''	PIC10F222	Farnell	not assigned		
PIC16F720/721	SOIC-20	''	PIC16F720/721	Farnell	not assigned		
PIC18F25K50	SOIC-28	''	PIC18F25K50	Farnell	not assigned		
PIC32MX1XX/2XX--	44TQFP	''	PIC32MX1XX/2XX--"	Farnell	not assigned		
PIC32MX230F064B-	SSOP28	''	PIC32MX230F064B-	Farnell	not assigned		
PIC32MX250F128B-	QFN28_6X6MC	''	PIC32MX250F128B-	Farnell	not assigned		
PIEZO-BUZZER	PIEZO-12X12MM	''	PIEZO-BUZZER	Farnell	not assigned		
PINHD-1X20	1X20M	''	PINHD-1X20-2MM	Farnell	not assigned		
PINHEAD-1X2	PIHEAD-1X2	''	PINHEAD-1X2	Farnell	not assigned		
PINHEAD-1X3	PINHEAD-1X3-2MM	''	PINHEAD-1X3	Farnell	not assigned		
PINHEAD-1X4	PINHEAD-1X4-2MM	''	PINHEAD-1X4	Farnell	not assigned		
PINHEAD-1X5	PINHEAD-1X5	''	PINHEAD-1X5	Farnell	not assigned		
PINHEAD-1X5	PINHEAD-1X5_2MM	''	PINHEAD-1X5-2MM	Farnell	not assigned		
PINHEAD-1X5	PINHEAD-1X5-SQUARE	''	PINHEAD-1X5.	Farnell	not assigned		
PINHEAD-1X6	PINHEAD-1X6	''	PINHEAD-1X6	Farnell	not assigned		
PINHEAD-1X6	PINHEAD-1X6-SQUARE	''	PINHEAD-1X6.	Farnell	not assigned		
PINHEAD-1X7	PINHEAD-1X7	''	PINHEAD-1X7	Farnell	not assigned		
PINHEAD-1X7	PINHEAD-1X7_2MM	''	PINHEAD-1X7-2MM	Farnell	not assigned		
PINHEAD-1X7	PINHEAD-1X7-SQUARE	''	PINHEAD-1X7.	Farnell	not assigned		
PINHEAD-1X8	PINHEAD-1X8	''	PINHEAD-1X8	Farnell	not assigned		
PINHEAD-1X8	PINHEAD-1X8_2MM	''	PINHEAD-1X8-2MM	Farnell	not assigned		
PINHEAD-1X8	PINHEAD-1X8-SQUARE	''	PINHEAD-1X8.	Farnell	not assigned		
PINHEAD-1X8	MOLEX-1X8_LOCK	''	PINHEAD-1X8MOLEX-LOCK	Farnell	not assigned		
PINHEAD-1X12	PINHEAD-1X12	''	PINHEAD-1X12	Farnell	not assigned		
PINHEAD-1X12	PINHEAD-1X12_2MM	''	PINHEAD-1X12-2MM	Farnell	not assigned		
PINHEAD-1X14	PINHEAD-1X14	''	PINHEAD-1X14	Farnell	not assigned		
